Palavra,Concretude,Valência,Alerta,Tamanho
Rei,5,5.2,5.12,3
Relaxamento,2.36,7.77,1.86,11
Remédio,5.86,4.01,6.24,7
Remorso,2.03,2.5,7.33,7
Repolho,6.69,4.65,4.86,7
Repouso,3.27,7.94,1.97,7
Representação,2.24,5.39,5.09,13
Repressão,2.58,2.34,7.18,9
Respeito,2.61,7.94,3.89,8
Respirar,4.4,7.77,3.27,8
Responsabilidade,2.28,7.01,5.41,16
Resto,2.98,3.5,5.55,5
Revólver,6.72,2.25,7.93,8
Rigidez,2.94,4.05,6.03,7
Rio,6.61,7.27,2.91,3
Riqueza,3.35,7.57,4.69,7
Riscar,4.38,4.72,4.96,6
Ritmo,3.17,6.56,4.48,5
Rocha,6.55,5.2,4.79,5
Rodas,6.5,5.39,4.85,5
Rodoviária,6.29,3.52,6.57,10
Rosa,5.9,6.87,3.48,4
Roubo,4.51,1.84,8.02,5
Roupa,6.33,6.58,4.22,5
Rua,6.48,5.5,4.97,3
Rude,2.83,2.7,6.81,4
Rugido,3.81,4.05,6.42,6
Rugoso,4.62,3.94,4.98,6
Ruim,2.53,2.2,6.7,4
Russa,3.58,5.38,5.14,5
Sabedoria,2.33,8.27,3.76,9
Sabor,3.07,7.42,3.64,5
Saco,6.12,4.31,4.97,4
Saia,6.37,6.75,4.79,4
Sala,5.88,5.34,4.45,4
Salada,6.29,6.72,3.7,6
Salgado,4.4,5.89,4.76,7
Sanduíche,6.54,7.3,4.07,9
Sangue,6.1,4.47,5.36,6
Sapato,6.89,5.83,4.06,6
Satisfação,2.35,8,3.38,10
Saudade,1.98,4.44,5.29,7
Saudável,2.94,8.02,2.82,8
Saúde,3.55,8.14,4.16,5
Seco,3.88,3.9,4.99,4
Segurança,3.05,7.22,4.14,9
Selva,5.6,5.13,6.05,5
Selvageria,2.54,2.7,7.28,10
Sensação,2.13,6.98,4.45,8
Sentar,4.93,6.36,2.67,6
Sentimento,2.21,7.47,4.8,10
Sepultar,4.35,1.96,7.36,8
Ser,1.98,6.97,4.32,3
Serenidade,1.92,7.48,2.61,10
Seringa,6.83,3.17,5.83,7
Serra,5.26,6.09,4.48,5
Sexo,4.77,7.83,5.78,4
Shopping,5.93,6.21,3.47,8
Signo,2.72,5.33,4.22,5
Silêncio,3.2,4.76,2.72,8
Símbolo,3.15,5.64,4.5,7
Simpatia,2.45,7.88,3.33,8
Soberano,2.44,5.38,5.33,8
Social,2.15,6.14,4.48,6
Sofá,6.64,6.72,2.72,4
Sofrimento,2.48,2.05,6.2,10
Sol,6.07,7.03,3.73,3
Soldado,6.55,4.87,5.73,7
Solidão,2.16,2.29,6.22,7
Som,3.39,7.15,5.13,3
Sombra,3.76,6.19,4.03,6
Sonhar,2.28,7.55,3.38,6
Sonolento,3.68,4.19,3.97,9
Sopa,6.54,6.04,3.9,4
Sorriso,5.02,8.14,2.65,7
Sorvete,6.49,7.62,3.06,7
Sossego,2.32,7.85,1.75,7
Status,2.91,5.47,5.42,6
Suave,2.59,6.77,2.19,5
Subir,3.51,6.22,4.76,5
Sucesso,2.58,8.23,4.33,7
Suco,6.34,6.8,2.41,4
Suculenta,3.35,7.35,4.07,9
Sufoco,2.38,2.51,7.68,6
Sujeira,5.6,2.57,6.41,7
Superfície,4.78,5.15,3.95,10
Superior,2.73,5.96,5.51,8
Suspiro,3.64,6.13,3.58,7
Sustentação,2.6,5.99,4.61,11
Susto,3.24,3.18,7.07,5
Tabaco,5.25,2.559,6.71,6
Tamanho,3.3,5.13,4.91,7
Tampa,6.07,4.81,4.14,5
Tarde,3.8,5.08,3.98,5
Tartaruga,6.75,5.85,3.34,9
Tecido,5.87,5.51,3.87,6
Teia,5.9,3.71,5.18,4
Televisão,6.85,5.93,4.46,9
Temor,2.06,2.91,6.88,5
Temperatura,3.73,5.53,5.23,11
Tênis,6.78,6.32,3.63,5
Tensão,2.48,2.59,7.26,6
Terra,5.94,6.13,4.28,5
Terror,2.37,3.09,7.59,6
Tesão,3.11,7.75,6.23,5
Tinta,6.38,5.18,4.3,5
Tirânico,3.27,2.85,7.05,8
Título,3.79,5.47,4.59,6
Tomar,3.8,5.51,4.58,5
Torta,6.1,7.35,3.26,5
Tortura,3.32,1.62,7.88,7
Tosse,5.35,2.42,6.33,5
Trabalho,4.47,6.38,5.51,8
Tragar,3.79,2.65,5.4,6
Traição,3.37,1.98,7.94,7
Tranquilidade,2.34,8.04,2.18,13
Transar,5.18,7.76,5.01,7
Trânsito,4.94,3.25,6.61,8
Transporte,5.01,5.19,5.25,10
Trauma,2.49,2.04,6.98,6
Travesseiro,6.7,7.58,2.32,11
Tremor,3.56,3.27,6.81,6
Tricô,5.77,5.15,3.22,5
Trigo,6.2,5.34,3.6,5
Triste,2.49,2.51,6.07,6
Tristeza,2.64,2.18,6.63,8
Trono,6.13,5.79,4.81,5
Tubarão,6.76,3.46,7.08,7
Túmulo,6.28,2.23,6.74,6
Unha,6.65,5.44,4.53,4
Uniforme,6.27,4.51,4.96,8
Urbanização,4.41,5.43,4.91,11
Ursinho,6.27,6.37,3.2,7
Usurpador,2.37,2.78,6.85,9
Útil,2.11,7.6,4,4
Uva,6.78,6.55,3.29,3
Vaca,6.8,5.51,4.33,4
Valoroso,2.28,7.05,4.31,8
Vantagem,2.03,6.09,4.43,8
Velocidade,3.77,6.16,6.28,10
Velório,5.5,1.84,6.77,7
Vendedor,5.66,4.41,5.76,8
Veneno,5.01,2.59,7.39,6
Veneziana,5.32,5.11,4.55,9
Vento,4.36,6.64,3.64,5
Verde,4.5,6.66,2.87,5
Vermelho,4.96,6.25,5.86,8
Vestir,5.53,6.69,3.75,6
Viagem,4.62,8.24,3.28,6
Viajar,4.27,8.47,3.61,6
Vício,3.19,2.34,7.08,5
Vida,2.96,8.11,3.31,4
Vidro,6.31,5.51,5,5
Vigilante,4.8,5.07,5.37,9
Vingança,2.56,2.54,7.41,8
Violão,6.74,7.15,2.93,6
Violência,3.79,1.85,7.95,9
Virtude,2.03,7.5,3.02,7
Visão,4.44,7.17,4.26,5
Visita,3.72,7.27,4.28,6
Vitamina,4.9,6.42,4,8
Vitória,2.54,8.58,4.34,7
Vomitar,5.4,2.04,6.46,7
Voz,1.11,6.38,4.93,3
Vulcão,6.07,4.17,6.68,6
Vulgaridade,2.92,2.72,7.18,11
Xadrez,5.92,5.47,4.66,6
Xícara,6.85,5.14,4.05,6
Xingação,2.42,2.6,6.94,8
Zeloso,2.59,7.38,3.06,6
Zombador,3.07,3.12,6.46,8
Zoologico,6.32,6.32,3.55,9
Zorra,3.57,4.96,6.12,5
